model,metric,source_column,category,axis_label,n,mean_db,ci95_low_db,ci95_high_db,sample_rate_hz,segment_seconds,evaluation_n,alignment,input_csv,bootstrap_method,bootstrap_replicates,bootstrap_seed
DARS,SDRi,sdr_i,dialog+dialog,D&D,402,11.638213,11.206569,12.027441,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,dialog+music,D&M,47,15.276516,14.358126,16.191269,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,dialog+speech,D&S,646,14.170928,13.821730,14.499169,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,dialog+tv,D&T,660,12.327124,12.007487,12.619074,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,music+music,M&M,3,13.068199,8.152220,20.242432,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,music+speech,M&S,35,16.875828,15.854810,17.943214,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,music+tv,M&T,26,16.271640,15.141951,17.360762,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,speech+speech,S&S,216,14.891251,14.389419,15.324003,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,speech+tv,S&T,501,14.031962,13.772129,14.274099,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SDRi,sdr_i,tv+tv,T&T,265,11.653214,10.926581,12.289848,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,dialog+dialog,D&D,402,22.176023,21.589089,22.713164,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,dialog+music,D&M,47,26.885363,25.656078,28.039026,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,dialog+speech,D&S,646,25.541280,25.076117,25.952728,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,dialog+tv,D&T,660,23.088954,22.669045,23.469574,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,music+music,M&M,3,20.191539,11.969688,32.555168,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,music+speech,M&S,35,29.135191,28.109167,30.170812,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,music+tv,M&T,26,27.283770,25.804048,28.587179,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,speech+speech,S&S,216,26.284659,25.636871,26.818931,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,speech+tv,S&T,501,25.461844,25.159297,25.746856,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
DARS,SIR,sir,tv+tv,T&T,265,22.290585,21.275575,23.155501,8000,4,2801,fixed identity,outputs/main_table/dars/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,dialog+dialog,D&D,402,10.054423,9.543209,10.526840,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,dialog+music,D&M,47,13.340477,12.505671,14.201259,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,dialog+speech,D&S,646,12.774041,12.465258,13.052276,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,dialog+tv,D&T,660,10.795904,10.439555,11.133516,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,music+music,M&M,3,11.644023,7.162781,15.428812,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,music+speech,M&S,35,14.926437,13.768339,16.063841,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
